genero,renda,dias_na_plataforma,cidade,compras_realizadas
M,126895,14.0,San Francisco,0
M,161474,14.0,Tokyo,0
M,104723,34.0,London,1
M,43791,28.0,London,2
F,132181,26.0,London,2
M,12315,14.0,New York City,0
M,51679,30.0,Tokyo,0
F,53341,43.0,San Francisco,1
M,129157,23.0,New York City,0
F,76842,19.0,Tokyo,2
M,159506,7.0,New York City,0
M,110343,30.0,San Francisco,1
M,130521,12.0,London,1
M,105418,13.0,Miami,0
M,95060,7.0,Tokyo,1
F,226249,20.0,Miami,0
F,51434,18.0,New York City,0
F,177582,2.0,London,0
F,260,32.0,San Francisco,0
F,15174,13.0,Tokyo,1
M,18300,15.0,Tokyo,1
M,67623,40.0,New York City,0
F,39433,36.0,Miami,2
F,108804,5.0,Tokyo,2
F,38777,2.0,San Francisco,2
F,112992,9.0,London,3
F,24300,34.0,Tokyo,0
M,12877,18.0,San Francisco,1
M,44684,15.0,Tokyo,4
M,70598,15.0,London,2
M,1070,32.0,New York City,2
M,25838,15.0,London,1
M,92621,4.0,New York City,0
M,19572,39.0,New York City,2
M,89058,8.0,New York City,1
F,21646,30.0,London,0
M,58738,52.0,San Francisco,1
M,111270,0.0,San Francisco,0
F,19003,25.0,San Francisco,2
M,4127,17.0,New York City,2
M,138533,20.0,New York City,3
F,37303,30.0,New York City,1
M,51178,9.0,London,1
M,52145,79.0,London,0
M,1062,28.0,Tokyo,2
M,142495,26.0,Miami,0
F,37129,29.0,London,0
M,9866,33.0,London,5
M,62665,35.0,San Francisco,0
F,107003,44.0,Tokyo,1
M,255965,22.0,Tokyo,1
M,85704,23.0,New York City,4
F,59313,15.0,New York City,0
F,95797,29.0,San Francisco,0
M,229581,50.0,Miami,1
F,114434,2.0,London,1
M,53427,59.0,Miami,3
M,97559,0.0,Tokyo,2
M,41515,2.0,Miami,1
F,47260,43.0,Miami,0
F,177953,71.0,Miami,0
M,72545,29.0,New York City,0
F,76525,30.0,Tokyo,0
M,115977,37.0,Tokyo,1
M,55581,2.0,Miami,0
F,10834,22.0,Miami,0
M,181514,11.0,San Francisco,1
M,148041,12.0,London,4
F,54724,25.0,Tokyo,0
M,117191,12.0,Miami,2
F,42665,6.0,London,0
F,76611,8.0,London,0
M,85827,27.0,San Francisco,0
F,10174,43.0,London,0
M,39736,31.0,Tokyo,4
F,158067,26.0,Miami,0
F,59422,42.0,London,0
M,31343,56.0,New York City,0
F,42850,4.0,San Francisco,0
M,5041,17.0,Miami,2
M,38877,23.0,Miami,1
M,32758,30.0,San Francisco,1
M,128031,63.0,Tokyo,0
F,117244,54.0,New York City,1
M,163307,12.0,New York City,1
F,39953,14.0,Miami,0
F,47038,0.0,London,1
F,29997,3.0,Tokyo,0
F,101285,36.0,San Francisco,0
F,8802,15.0,Tokyo,2
F,162074,55.0,Miami,0
F,66182,7.0,San Francisco,0
F,144971,59.0,San Francisco,0
M,9143,11.0,New York City,0
M,136740,10.0,London,0
F,54455,27.0,London,1
M,279792,36.0,London,4
M,29338,47.0,New York City,2
M,39017,37.0,Miami,0
F,3550,11.0,Tokyo,1
M,17604,41.0,Tokyo,0
F,86038,21.0,San Francisco,1
M,90784,0.0,Tokyo,2
F,20144,22.0,Tokyo,2
M,24491,5.0,Tokyo,5
M,100126,12.0,Miami,3
M,56859,22.0,New York City,1
F,114142,10.0,San Francisco,2
M,76871,9.0,San Francisco,0
F,185647,10.0,London,0
F,31178,16.0,Tokyo,1
F,7982,9.0,Miami,1
M,111991,18.0,London,0
F,155979,9.0,Tokyo,2
F,41138,2.0,San Francisco,0
M,130458,13.0,San Francisco,0
M,28146,19.0,Miami,2
F,756,21.0,San Francisco,4
M,26825,9.0,Tokyo,1
F,82928,9.0,San Francisco,1
M,75743,4.0,London,0
F,133644,13.0,San Francisco,0
F,90495,19.0,San Francisco,2
M,15137,5.0,Miami,0
M,151420,50.0,San Francisco,0
M,19170,21.0,Miami,1
F,17003,4.0,San Francisco,0
M,6220,36.0,Miami,2
F,94003,11.0,Miami,2
M,88453,31.0,London,0
M,10941,8.0,New York City,0
M,149643,16.0,Miami,0
F,94844,31.0,New York City,3
F,75438,12.0,Tokyo,1
M,231131,78.0,New York City,2
M,47626,31.0,Tokyo,0
F,66226,55.0,San Francisco,0
F,31279,15.0,San Francisco,0
M,64889,21.0,New York City,1
M,62570,1.0,London,0
M,46470,29.0,Miami,2
M,130567,40.0,Miami,0
F,18409,6.0,New York City,5
F,199128,11.0,Tokyo,2
M,15078,6.0,San Francisco,2
M,23834,17.0,London,2
M,143915,69.0,Miami,0
M,195904,47.0,Tokyo,4
M,95196,63.0,London,1
M,54390,11.0,New York City,0
M,12539,36.0,Miami,0
M,30446,37.0,London,1
M,45020,42.0,San Francisco,0
F,166254,2.0,San Francisco,1
M,92582,36.0,San Francisco,0
F,73993,61.0,San Francisco,0
F,66887,5.0,Miami,0
M,177228,4.0,Miami,0
F,142610,11.0,San Francisco,0
M,26650,7.0,Miami,1
M,201813,22.0,New York City,1
F,202365,34.0,London,4
F,57256,19.0,New York City,0
M,110882,54.0,New York City,0
F,156060,38.0,Miami,1
F,164730,22.0,Tokyo,0
M,32204,45.0,London,3
M,7903,67.0,Tokyo,1
M,44825,27.0,London,3
M,9465,27.0,Miami,0
F,222205,20.0,New York City,1
M,58152,16.0,San Francisco,2
M,116918,48.0,London,1
M,65525,67.0,San Francisco,0
M,54619,2.0,Tokyo,0
M,92662,32.0,Tokyo,2
F,93672,45.0,Miami,3
F,57929,74.0,Miami,0
M,116878,6.0,Tokyo,0
F,81535,35.0,New York City,2
M,96055,6.0,San Francisco,2
M,9076,30.0,London,0
F,118228,16.0,New York City,1
F,223669,13.0,Tokyo,0
M,165119,48.0,Miami,0
M,63724,67.0,New York City,4
M,91477,45.0,New York City,0
F,51931,25.0,New York City,1
F,33888,28.0,Tokyo,4
M,87521,8.0,San Francisco,2
F,59732,38.0,Miami,2
M,1497,40.0,San Francisco,0
F,53355,35.0,New York City,2
F,58820,32.0,Miami,0
F,8528,28.0,Tokyo,0
M,65742,5.0,Tokyo,0
F,92148,21.0,Miami,0
M,95618,1.0,New York City,2
M,107407,78.0,Miami,2
F,59834,23.0,New York City,0
F,309902,51.0,Tokyo,0
M,13623,6.0,London,1
F,86803,0.0,Miami,2
M,18550,7.0,San Francisco,2
M,104020,23.0,Miami,0
F,44566,11.0,San Francisco,1
F,21208,21.0,Miami,0
M,47767,34.0,New York City,1
F,9443,19.0,London,0
M,93917,67.0,New York City,0
F,81841,26.0,San Francisco,0
M,107947,8.0,London,0
M,103234,45.0,Tokyo,1
F,46751,27.0,Miami,2
F,180960,20.0,London,0
M,87026,7.0,San Francisco,0
F,63933,26.0,Miami,0
F,117001,17.0,San Francisco,1
F,162512,32.0,New York City,0
F,214361,7.0,New York City,0
F,18746,13.0,Miami,2
M,176177,19.0,Tokyo,0
F,72151,19.0,New York City,0
F,121436,20.0,Miami,1
M,68863,21.0,New York City,0
M,58735,16.0,Miami,2
M,46948,40.0,New York City,1
M,69553,22.0,San Francisco,2
M,225512,29.0,London,3
M,52330,40.0,New York City,0
M,72162,55.0,Miami,0
M,33271,5.0,San Francisco,2
F,113856,0.0,London,1
M,100904,44.0,Miami,0
M,129974,26.0,Miami,3
M,59623,4.0,New York City,1
F,31939,6.0,Miami,2
F,109978,13.0,New York City,3
M,41849,59.0,Miami,3
F,26458,10.0,London,0
F,134876,5.0,San Francisco,4
M,47598,32.0,New York City,2
F,14414,4.0,Miami,0
F,9940,20.0,San Francisco,0
M,43655,12.0,New York City,2
M,70872,42.0,Tokyo,0
